,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    1E Doméstico con temperatura media mínima en verano de 32°C,913865,916163,920276,924738,928500,937723,940492,946399,951473,955087,959344,964945,969457,971254,974244,976608,984226,987479,990586,994434,998367,1001635,998181,1003913,1010162,1016354,1021638,1026384,1032279,1038152,1043886,1049172,1052131,1056868,1059975,1064701,1073479,1077785,1080331,1084866,1092112,1092970,1094022,1138429,1138674,1142941,1143471,1148263,1149799,1155039,1156456,1159845,1159972,1163321,1164554,1167946,1168275,967381,953496,958500,957292,958975,980323,984340,988732,993209,995402,998953,999644,1001686,1002450,1003914,1011428,1012196,1016770,1021115,1019890,1020120,1020833,1023046,1024512,1025124,1024440,1025896,1026396,1028536,1029973,1033877,1035052,1037680,1038257,1040374,1039844,1039639,1038853,1034995,1034600,1034064,1035625,1037342,1037713,1037632,1038261,1124967,1124857,1125960,1125777,1128578,1129504,1129388,1124215,1124275,1125843,1129635,1129960,1133827,1133594,1135244,1131174,1140091,1143582,1146682,1149216,1152722,1150955,1154187,1158616,1163616,1164671,1163859,1163862,1163899,1165963,1169372,1162264,1169782,1170398,1174331,1178625,1182184,1183410,1184001,1187467,1188866,1191948,1194069,1197567,1200662,1197100,1203713,1207194,1210447,1211555,1213905,1215901,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    1F Doméstico con temperatura media mínima en verano de 33°C,722571,723563,723454,723998,729033,735435,737760,741947,745502,746292,747334,750744,753744,756140,758565,761653,765845,770696,772557,776237,778773,779257,781868,786744,790816,794363,798199,800203,803575,807546,811171,812367,815111,816575,820242,823890,826643,831215,835253,839984,843921,848392,852967,855446,856867,857648,859216,862151,864541,865707,866630,867458,865603,864229,863778,864634,866023,1122012,1135706,1138172,1134490,1137398,1134056,1142442,1145050,1148395,1151566,1154942,1156729,1157973,1158596,1162269,1165549,1167608,1170049,1172974,1175140,1176165,1176368,1177449,1178740,1179258,1178951,1179350,1178769,1180585,1182295,1184821,1186453,1189079,1190009,1190172,1190325,1189840,1188480,1192943,1195020,1196339,1198943,1201836,1203832,1204820,1206363,1207256,1209784,1211157,1211490,1214367,1215794,1215903,1218350,1220002,1221011,1222735,1225145,1226515,1227624,1228113,1228227,1229950,1232396,1232157,1235110,1239392,1242198,1246935,1250760,1253742,1256164,1258757,1262118,1264342,1265721,1267811,1283896,1286881,1289268,1292767,1296168,1299699,1301803,1304234,1307155,1308591,1312629,1315768,1318528,1322093,1326482,1330341,1333809,1337536,1340328,1343241,1346058,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    DAC Doméstico alto consumo,512561,511560,504462,496428,496845,502403,510452,506250,505769,518104,507346,497720,528765,581469,606829,604287,601564,601512,606280,604252,591117,580994,572168,567549,565700,571049,570905,565146,567778,578085,583413,587238,588262,583467,574794,570128,568896,568975,569079,567987,568901,575444,576608,574001,571045,562349,553352,543308,540111,540767,535874,531791,532493,534472,536963,541031,553726,511472,557332,555164,514753,508852,502194,483615,472583,463388,460544,452766,450388,466580,494836,511083,511853,506312,508336,519473,530513,537372,542313,542517,545229,546698,545621,545241,542184,540567,539251,534958,525612,516951,510960,505590,501845,496871,495411,493002,489357,488420,487327,486558,483482,480402,476868,472996,468010,462086,460003,456706,452800,448609,444518,442860,433274,437219,433000,432379,431393,427855,424289,419365,416068,415045,414332,414035,414579,415712,411981,418348,423049,427076,431412,434502,437512,440383,440734,440822,440002,434364,432422,433646,430355,426439,426535,427097,427633,429143,431112,432595,431818,431064,434392,436383,437874,439517,438245,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarifa de servicios,152122,152659,153100,153839,154464,154993,155592,155988,156460,156891,157384,157849,158374,159148,159673,160052,160616,161279,161862,162358,162690,163356,163983,164418,163963,162719,161604,161643,161322,162040,161132,160976,161294,161121,161374,161814,162014,162467,162698,163623,164106,164808,164999,165476,165375,166101,166758,167717,168284,168991,169676,170352,170789,171465,172016,172466,172848,173215,173785,174287,174702,175039,175756,176231,176540,177409,178477,178769,179106,179317,179415,179986,180325,180616,181136,181453,182109,182889,183252,183796,183731,185161,185299,185558,185883,186050,186290,186851,187008,186879,186922,187932,188346,188712,189242,189695,189841,190429,190923,191369,191651,192002,190974,191343,191591,192048,192308,192646,192848,193304,193523,193806,194111,194519,194727,195423,195813,196147,196446,196706,197181,197853,199494,199977,200437,200900,201305,201799,202049,202757,203235,203807,204333,204789,205236,205603,206082,206492,206976,208735,208921,209388,209499,209387,209892,210343,210985,211515,212022,212543,212939,212448,212761,212841,213114,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    5 Alumbrado público,8348,8384,8407,8443,8504,8528,8553,8573,8596,8633,8684,8716,8754,8830,8869,8873,8888,8941,8992,9041,9060,9099,9146,9169,9291,9321,9364,9410,9456,9535,9553,9574,9590,9673,9726,9745,9796,9853,9944,10193,10252,10279,10269,10319,9789,9590,9622,9704,9749,9782,9840,9879,9872,9917,9976,9971,9964,10042,10154,10218,10213,10192,10295,10249,10235,10509,11192,11133,11051,11038,10774,10841,10840,10932,10903,10796,10826,10902,10903,10919,10336,11292,11275,11270,11173,11151,11129,11137,11186,11193,10985,11027,11066,11052,11083,11096,10993,11046,11059,11031,11057,11104,10196,10191,10256,10302,10354,10392,10509,10536,10626,10645,10647,10667,10681,10719,10759,10784,10786,10792,10822,10755,10799,10856,10923,10980,10946,11077,10994,11025,11086,11096,11148,11173,11226,11278,11304,11359,11417,11476,11489,11523,11525,11440,11684,11780,12049,12294,12467,12506,12553,12642,12763,12881,12955,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
    5A Alumbrado público,115523,115984,116352,116928,117429,117880,118414,118744,119175,119543,119971,120392,120817,121474,121888,122159,122640,123161,123595,124010,124344,124854,125385,125793,125135,123786,122508,122417,122012,122554,121668,121447,121721,121424,121684,121977,122065,122351,122465,123024,123352,123792,123918,124271,124597,125006,125226,125693,126163,126685,127305,127861,128300,128878,129369,129842,130307,130595,130974,131429,131801,132129,132656,133122,133344,133915,134265,134625,134941,135217,135471,135889,136167,136334,136776,137162,137699,138236,138607,139085,139561,139934,140037,140295,140626,140774,140955,141391,141379,141184,141451,142348,142721,143035,143486,143883,144094,144561,144903,145273,145439,145739,145662,146026,146199,146593,146793,147092,147095,147456,147524,147697,147928,148272,148437,149054,149420,149673,149902,150146,150496,151203,152784,153150,153521,153946,154365,154697,155075,155813,156215,156749,157208,157674,158031,158364,158782,159219,159570,161305,161470,161865,162004,161990,162220,162536,162837,163056,163339,163769,164115,163520,163700,163665,163881,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
"    6 Bombeo de aguas potables o negras, de servicio público",28251,28291,28341,28468,28531,28585,28625,28671,28689,28715,28729,28741,28803,28844,28916,29020,29088,29177,29275,29307,29286,29403,29452,29456,29537,29612,29732,29816,29854,29951,29911,29955,29983,30024,29964,30092,30153,30263,30289,30406,30502,30737,30812,30886,30989,31505,31910,32320,32372,32524,32531,32612,32617,32670,32671,32653,32577,32578,32657,32640,32688,32718,32805,32860,32961,32985,33020,33011,33114,33062,33170,33256,33318,33350,33457,33495,33584,33751,33742,33792,33834,33935,33987,33993,34084,34125,34206,34323,34443,34502,34486,34557,34559,34625,34673,34716,34754,34822,34961,35065,35155,35159,35116,35126,35136,35153,35161,35162,35244,35312,35373,35464,35536,35580,35609,35650,35634,35690,35758,35768,35863,35895,35911,35971,35993,35974,35994,36025,35980,35919,35934,35962,35977,35942,35979,35961,35996,35914,35989,35954,35962,36000,35970,35957,35988,36027,36099,36165,36216,36268,36271,36286,36298,36295,36278,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarifa comercial,2967958,2973839,2984194,2991456,3002393,3010023,3014262,3020914,3028176,3035440,3047430,3056275,3048097,3052418,3061845,3066031,3072202,3083897,3089334,3096160,3103915,3112652,3115913,3120968,3131746,3148133,3152935,3163505,3173621,3182366,3195216,3207453,3213258,3227198,3238965,3249957,3257951,3270558,3281411,3293233,3301963,3312299,3315179,3322047,3328738,3337820,3343407,3352625,3354396,3359281,3368816,3373762,3377258,3385338,3389627,3394743,3390103,3396752,3409743,3419504,3419102,3420200,3431848,3433306,3437447,3442279,3446358,3445820,3459283,3465216,3468973,3476229,3476329,3480696,3493133,3497923,3502902,3504108,3509691,3514249,3519909,3529464,3536663,3543508,3546899,3553809,3564635,3570253,3580005,3585006,3590742,3595560,3601517,3609610,3617959,3625078,3630262,3637397,3645235,3653748,3661001,3663593,3666406,3669680,3674691,3682163,3689007,3695544,3696607,3701822,3710363,3716247,3720575,3724352,3729831,3732322,3737907,3748884,3754857,3767738,3768483,3778617,3791282,3800762,3811022,3818283,3828298,3837817,3848241,3861394,3871279,3881213,3887877,3900571,3910577,3922189,3933772,3940100,3952042,3962726,3970515,3978828,3988104,3988320,3999440,4011742,4031040,4045767,4056872,4062146,4079358,4090526,4098924,4109311,4122359,0,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
